,Epoch index,age_of_view,new_age_of_view,timeliness,consistence,completeness,intel_arrival_time,queuing_time,transmitting_time,service_time,service_rate,received_data,required_data
0,,,,,,,,,,,,,
1,0.0,0.5406483119695239,239.5072022024991,107.33284622216974,923.1030692479708,0.6923002599357001,12.364307028148726,0.0324467210249868,0.5154364183596695,12.912190167533383,0.0,4027.0,5814.0
2,0,0.5406483119695239,239.5072022024991,107.33284622216974,923.1030692479708,0.6923002599357001,12.364307028148726,0.032446721024986816,0.5154364183596695,12.912190167533383,0.0,4027,5814
3,1,0.5505658788393469,243.90068432583067,102.97134422459854,893.1161220436614,0.7022969913206932,8.962182845166321,0.033309445864802785,0.5146802106847255,9.510172501715836,0.0,4093,5814
4,2,0.554212001395963,245.5159166184116,103.2414488698242,885.0928275261233,0.7049696635193243,8.011173803568063,0.031715486904782285,0.4936907449209931,8.536580035393836,0.0,4119,5814
5,3,0.5474928024695501,242.53931149401072,107.87313775936535,905.6555464851174,0.698114817838294,15.746863891608461,0.031618121315568834,0.49208051166290406,16.270562524586946,0.0,4075,5814
6,4,0.5489943669949922,243.20450457878152,104.12579955566628,895.4776036604482,0.7015074654465178,13.753839536032181,0.03358556584157242,0.5188713318284424,14.306296433702196,0.0,4083,5814
7,5,0.5295781999948562,234.60314259772133,109.29787627754253,947.7736522318916,0.684075449256036,12.321954072463248,0.03255808657672791,0.5115462753950337,12.866058434435011,0.0,3976,5814
8,6,0.5302929197654296,234.91976345608532,108.04342497404966,945.670623551267,0.6847769423954521,8.828676420322026,0.03408189917774481,0.524525959367946,9.387284278867718,0.0,3996,5814
9,7,0.5393206874100945,238.9190645226719,106.39433818249006,924.5041535180821,0.6918325404217041,8.789264248096808,0.032490679005721446,0.5131489841986454,9.334903911301177,0.0,4040,5814
10,8,0.5353598442202201,237.16441098955752,109.27400121904107,935.912546317908,0.6880295244008559,8.566571399282065,0.03310904425579677,0.5100000000000007,9.109680443537856,0.0,4015,5814
11,9,0.5255859651924946,232.8345825802751,114.59844718232837,966.4677872917149,0.6778440709027616,10.530422192498746,0.03314196484800953,0.5205154251316781,11.084079582478436,0.0,3953,5814
12,10,0.5438437925840157,240.92280011471894,118.81457872368456,915.0966602998205,0.6949677799000596,10.249020658790759,0.031821521048316946,0.514010534236268,10.794852714075331,0.0,4055,5814
13,11,0.5491323460055428,243.2656292804555,102.87707467674664,899.4524192887627,0.7001825269037457,9.842690098106415,0.03352862299907334,0.5073250564334089,10.383543777538897,0.0,4079,5814
14,12,0.5575807754664819,247.00828353165147,104.12958952345801,876.4009991417325,0.7078673489790869,15.765400676182265,0.032868332762070074,0.5029533483822421,16.30122235732658,0.0,4132,5814
15,13,0.5374567202208165,238.09332705782168,148.16393014094035,928.9708218014116,0.6903467174911865,10.822756511098637,0.0320033531127163,0.5006395786305494,11.355399442841904,0.0,4012,5814
16,14,0.5367072149313821,237.76129621460225,108.30917309543081,944.8357699486368,0.6850547433504546,10.730266285748476,0.03281038519130824,0.5195297215951846,11.282606392534968,0.0,4007,5814
17,15,0.5454963841653001,241.65489818522795,102.93455415326834,907.1804841760501,0.697608367303627,12.982137078901397,0.03393243392523526,0.5155793829947332,13.531648895821375,0.0,4079,5814
18,16,0.5460331559206633,241.89268807285382,103.88982531780485,909.6258587161527,0.6967914672485778,21.86814364458689,0.03256609252517912,0.521576373212942,22.42228611032502,0.0,4070,5814
19,17,0.5506794566329358,243.95099928839056,104.28724949198583,898.1149493847015,0.7006283502050998,12.44111077122208,0.032295479000165654,0.5027614747930772,12.976167725015348,0.0,4078,5814
20,18,0.5377445522530372,238.22083664809546,106.45888693241923,918.8281017970409,0.6937247728444114,13.69202492076875,0.03334276406003522,0.534033107599699,14.259400792428478,0.0,4040,5814
21,19,0.5518208927090451,244.45665547010697,104.24803685265395,887.1677461051619,0.7042780050398555,10.993905253635575,0.033068561840409724,0.5146689240030099,11.541642739478993,0.0,4104,5814
22,20,0.54378894764454,240.8985038065312,104.33918927977565,917.3587980867893,0.6942137339710699,8.644165979653284,0.03374090576597371,0.5093717080511667,9.187278593470422,0.0,4045,5814
