,Epoch index,age_of_view,timeliness,consistence,completeness,queuing_time,transmitting_time,service_time,service_rate
0,,,,,,,,,
1,0,67.79300638233285,41.566012338860695,1221.8929842554303,0.46598861895185434,0.1367778355876367,0.013466666666666663,0.15024450225430336,0.029722222222222223
2,1,70.03139842177372,39.8465470179134,1359.949335244778,0.47113023514248986,0.1355711999323086,0.014133333333333328,0.14970453326564198,0.021944444444444447
3,2,70.04094827454523,41.96549576014662,835.9723878842841,0.46212285227481326,0.14656209250277025,0.014166666666666664,0.1607287591694369,0.015277777777777779
4,3,66.06924498817475,37.717531882436454,1353.9659366235317,0.4505310367736838,0.1372432449390408,0.014499999999999999,0.15174324493904084,0.0
5,4,65.30409211000035,36.79396320865299,1383.03411690726,0.4428416928024769,0.14322854271767818,0.016499999999999994,0.15972854271767817,0.0175
6,5,65.62907297842932,35.886438297071756,1491.3592753530431,0.4408961540456638,0.14223073958260649,0.015233333333333328,0.15746407291593983,0.0175
7,6,70.62109271110815,41.243217298476964,1259.9306576174797,0.47981034878338763,0.14145935336179277,0.013466666666666662,0.15492602002845945,0.07722222222222218
8,7,63.197451979336726,43.57988430734699,1084.6351586991148,0.43083690456239454,0.14106639958151687,0.013666666666666662,0.15473306624818356,0.006666666666666667
9,8,72.20802670411638,37.673019596479485,1589.1627241188714,0.48686042579424904,0.14160077321286527,0.014099999999999998,0.15570077321286527,0.056944444444444436
10,9,64.84025594007306,40.389670818744214,865.5888120295931,0.43225554538054506,0.14992656999308848,0.0143,0.1642265699930885,0.03138888888888888
