,Epoch index,age_of_view,timeliness,consistence,completeness,queuing_time,transmitting_time,service_time,service_rate
0,,,,,,,,,
1,0,47.76247909040649,124.23491390495876,3397.5745152886134,0.4055580344673481,0.1996001253273556,0.011933333333333329,0.21153345866068893,0.03861111111111111
2,1,45.54034834377246,63.02343146399298,3083.209928538291,0.39706610065678716,0.18058979784456947,0.012066666666666663,0.1926564645112361,0.020833333333333336
3,2,47.50247493943119,71.1852021525911,3361.9100407350716,0.42327184235517556,0.17904957265457394,0.010900000000000002,0.18994957265457407,0.19194444444444428
4,3,56.91105628408627,56.44664138406296,3438.429776237717,0.4559377379156793,0.14055705460511148,0.00976666666666666,0.15032372127177812,0.0
5,4,50.51992855659911,157.55115284573023,3749.0282894104043,0.4206628719864011,0.18163812080692077,0.012033333333333328,0.19367145414025413,0.015277777777777779
6,5,61.666867213522686,118.65898412965348,3420.7324532640987,0.5154972856664034,0.16043853662368943,0.01219999999999999,0.1726385366236894,0.26722222222222214
7,6,54.942441475267685,81.94237816169885,2372.2181658798986,0.47434160402052555,0.20741170599039355,0.014866666666666651,0.22227837265706024,0.15638888888888877
8,7,60.85179680815427,69.64843867919768,2077.411491465202,0.5106521144070161,0.19007248294290524,0.013266666666666663,0.20333914960957186,0.3005555555555555
9,8,58.1269163939535,71.00610142417572,3363.050511519215,0.492975762527233,0.17356924728711862,0.012199999999999994,0.18576924728711866,0.15277777777777762
10,9,51.406320745974185,94.85958203932651,3573.3563369031754,0.4418870354409568,0.18143356192643612,0.013333333333333324,0.1947668952597693,0.044722222222222226
