,Epoch index,age_of_view,timeliness,consistence,completeness,queuing_time,transmitting_time,service_time,service_rate
0,,,,,,,,,
1,0,86.78766948182103,31.74146622674201,2297.3433364637876,0.5742936945129621,0.23530895135929059,0.06879999999999999,0.30410895135929084,0.2850555555555554
2,1,85.43374384069145,30.001426285304508,2203.6875309639704,0.5643411876309131,0.23638512488962443,0.06993333333333336,0.306318458222958,0.1664999999999999
3,2,86.19942921413974,30.01317066786473,2160.995203866374,0.5673483555782297,0.2516886183436258,0.0778,0.3294886183436259,0.2519444444444442
4,3,90.86908087814055,30.526646106638914,2138.5331583462553,0.5876363002422611,0.23084112574791935,0.0682666666666667,0.2991077924145861,0.25861111111111096
5,4,94.20764038501544,30.280235905131338,2319.151091344259,0.6021610154338417,0.24259655249323653,0.07293333333333332,0.3155298858265702,0.32350000000000007
6,5,92.80967538628865,28.326893461284836,2328.011390105166,0.5915372834094457,0.21886813633213645,0.07240000000000002,0.2912681363321365,0.22944444444444434
7,6,90.87939649641832,31.718808997810356,2350.4402583089195,0.589967685127399,0.231858482700615,0.06870000000000002,0.3005584827006151,0.2636666666666665
8,7,96.82870080993719,31.03740780132529,2350.8764289796964,0.614578223941496,0.23799306782588336,0.07706666666666669,0.3150597344925501,0.3401111111111111
9,8,87.1943956565497,29.97367461696261,2207.5863470983213,0.5714918809925563,0.24042821604200668,0.06806666666666668,0.3084948827086734,0.21716666666666665
10,9,88.04207586497509,30.711019915697918,2330.6177160048064,0.5775584820967661,0.24297132853289394,0.07296666666666665,0.3159379951995607,0.18705555555555547
