,Epoch index,age_of_view,new_age_of_view,timeliness,consistence,completeness,intel_arrival_time,queuing_time,transmitting_time,service_time,service_rate,received_data,required_data
12,11,0.5107969486812877,226.28304826581044,141.151494373882,1311.1908219696018,0.5629363926767988,0.06406633056640808,0.0001309320023488388,0.003920240782543266,0.0681175033513002,0.0,3249,5814
13,12,0.6219748289386083,275.5348492198035,135.99120480150327,904.6055994419434,0.6984648001860194,0.05590284314521661,9.335302750681827e-05,0.0040895410082768995,0.06008573718100032,0.0,4120,5814
14,13,0.5281572802907927,233.97367516882116,143.75274760592578,1224.246098145647,0.5919179672847843,0.21504759830329756,9.004439100815414e-05,0.003393528969149737,0.21853117166345543,0.0,3420,5814
15,14,0.6376314631015519,282.4707381539875,103.00137007062621,846.8878187275479,0.7177040604241509,0.5385449244171948,8.885308646692279e-05,0.003619262603461249,0.542253040107123,0.0,4187,5814
16,15,0.6011755210771256,266.32075583716664,117.97682100223632,977.8039022677849,0.674065365910738,0.07311177793429564,0.00011415159078200204,0.0038073739653875097,0.07703330349046515,0.0,3860,5814
17,16,0.532349801542859,235.83096208348655,138.97335892904727,1199.5363458963893,0.6001545513678689,0.567099515354991,0.00010672232598259628,0.0036869826937547027,0.5708932203747283,0.0,3457,5814
18,17,0.5462188316362394,241.97494241485407,133.40589214949998,1165.0687254806894,0.6116437581731033,0.179488183168505,8.823565947593294e-05,0.0034612490594431904,0.18303766788742412,0.0,3524,5814
19,18,0.47753606533753573,211.54847694452832,156.7745513771913,1403.048494019151,0.5323171686602834,0.0723216455688704,0.00010720125085841818,0.0036493604213694514,0.07607820724109828,0.0,3062,5814
20,19,0.5813308936389732,257.52958588206513,142.0108519939119,1027.52570980562,0.657491430064793,0.04726291741360158,0.000124955027618011,0.003638073739653875,0.051025946180873465,0.0,3859,5814
21,20,0.5977512483644772,264.8038030254634,116.21925510440855,962.4850225019527,0.6791716591660157,0.0640012390757408,0.00011651521496764653,0.003649360421369451,0.0677671147120779,0.0,3953,5814
22,21,0.4973005058939973,220.3041241110408,150.2307415868102,1320.2190491976041,0.5599269836007981,0.04027583837890474,0.00012967040417509224,0.00382242287434161,0.04422793165742145,0.0,3236,5814
23,22,0.48748421752835186,215.95550836505987,155.14113791462935,1357.3519877413776,0.5475493374195399,0.03980067449806875,0.00010768413599125777,0.0037998495109104594,0.04370820814497047,0.0,3188,5814
24,23,0.684210587697069,303.1052903498016,94.01342348228904,702.4198807212357,0.7658600397595882,0.27799381753759494,0.00021453623785052848,0.003562829194883371,0.2817711829703288,0.0,4442,5814
25,24,0.5636236817923435,249.68529103400817,168.0405851687809,1083.6875972033977,0.6387708009322005,0.13248047518588307,0.00012860486045880308,0.0037848006019563585,0.13639388064829822,0.0,3759,5814
26,25,0.4628796355522787,205.05567854965946,158.03000624870154,1465.846784893061,0.5113844050356464,0.07469227374563171,0.0001068122786629025,0.0028969149736644095,0.07769600099795904,0.0,2941,5814
27,26,0.5667679999648655,251.0782239844354,127.97400888014914,1079.9269391255855,0.6400243536248048,0.030325749914722765,8.156080577045466e-05,0.002784048156508653,0.03319135887700188,0.0,3753,5814
28,27,0.5858301810032049,259.5227701844198,120.54211374407066,1021.4593814763111,0.6595135395078957,0.03571272710292273,0.00011700759192254501,0.0036945071482317538,0.03952424184307704,0.0,3866,5814
29,28,0.6016688220183793,266.53928815414207,115.18825716680188,980.1301125511071,0.6732899624829647,0.039789228475035014,4.612414774775328e-05,0.0038186606471030844,0.04365401326988584,0.0,3848,5814
