,Epoch index,age_of_view,new_age_of_view,timeliness,consistence,completeness,intel_arrival_time,queuing_time,transmitting_time,service_time,service_rate,received_data,required_data
0,,,,,,,,,,,,,
1,0,58.04026444150069,30.683080732376915,42.03650488026938,2650.179179280675,0.2304381673881675,47.40151246160396,0.3123265835832994,0.5472499999999999,48.26108904518724,0.0,1434,5031
2,1,58.2546339360474,30.984035503676164,41.73747589642287,2821.224889002268,0.23299691358024713,46.88867677925379,0.3094832624209582,0.5648055555555553,47.76296559723036,0.0,1456,5031
3,2,59.583704435725465,32.017309304771246,43.211657087977805,2618.9433400954276,0.24037360710277375,46.90812781592295,0.30994761895552025,0.5470833333333333,47.76515876821178,0.0,1514,5031
4,3,62.921655907383425,34.49725263694259,41.37790581254367,2804.6946010008824,0.25687711640211625,46.89360817426999,0.3095006550132115,0.5560277777777781,47.75913660706105,0.0,1605,5031
5,4,63.48801135331906,34.99519831626107,41.78429697907324,2737.966364226191,0.25894969336219326,46.699115913927024,0.30846312277133275,0.5426666666666665,47.550245703365064,0.0,1620,5031
6,5,62.18394337034548,33.805461394298995,41.06418597499526,2675.144019806312,0.25170654160654143,46.83855623809942,0.3087709035965146,0.5506111111111114,47.697938252807084,0.0,1534,5031
7,6,62.382743492229885,33.94321515336313,41.23322459271362,2707.6156849946456,0.25328860028860045,46.89209325783484,0.3094168945226219,0.5488333333333333,47.75034348569082,0.0,1559,5031
8,7,59.59457140035596,31.869530566554417,42.680235373332486,2605.8823581579118,0.2398018779060447,46.69770362970076,0.3084880609165127,0.5414444444444447,47.54763613506172,0.0,1503,5031
9,8,57.52849683581235,30.40250353811725,42.47594486891503,2736.718404207294,0.22912091350008035,46.892406031958195,0.30940062139940316,0.5456666666666663,47.74747332002428,0.0,1446,5031
10,9,60.47588473945739,32.74834720659321,44.00269423035789,2699.0824950170067,0.24582240460157123,46.91705276195552,0.3099009639661219,0.5542777777777775,47.78123150369941,0.0,1530,5031
11,10,59.46228958791227,32.00624159153836,44.21391668654975,2806.6458439304615,0.24060801166426168,46.69996400623577,0.30842994903401677,0.5463333333333332,47.5547272886031,0.0,1522,5031
12,11,59.96909494789847,32.154552629248855,43.57089819185334,2654.5500263696767,0.24192575256533597,46.92066116732243,0.30961526148658947,0.5500277777777781,47.78030420658674,0.0,1501,5031
13,12,59.50363255698161,31.997459933949475,43.222409985962855,2801.4702530275263,0.2403634810405645,46.90959558363985,0.3098633199801363,0.5458611111111112,47.765320014731095,0.0,1504,5031
14,13,58.88034734966681,31.53604461814119,42.51296108279119,2874.0951623755986,0.2367371512746514,46.914998237666666,0.30990725190740487,0.5474444444444445,47.772349934018536,0.0,1489,5031
15,14,62.860249168998514,34.25901354152716,41.29956442608643,2685.5754617400476,0.2557977873977875,46.919888305167554,0.3098073345387923,0.5442777777777776,47.77397341748414,0.0,1577,5031
16,15,58.53281730564453,31.339584656973642,43.107347454440934,2851.239587563618,0.2356689824835658,46.915885962932116,0.30989766559714044,0.555416666666667,47.78120029519587,0.0,1470,5031
17,16,58.82522875508035,31.506355324072853,42.6016345910279,2743.0040545033376,0.23640964907006576,46.89302119061983,0.30945572974326574,0.5450000000000004,47.747476920363106,0.0,1485,5031
18,17,64.38784124210103,35.9529636435936,42.41975032858138,2320.27094351075,0.2700826128346962,36.13180251461226,0.25189187800992996,0.4469444444444443,36.83063883706661,0.0,1716,5031
19,18,61.77962674774849,33.567805588455606,41.36440769448764,2765.4733187018137,0.250966795935546,46.990858066929896,0.3096837006650138,0.5726944444444443,47.87323621203935,0.0,1553,5031
