,Epoch index,age_of_view,timeliness,consistence,completeness,queuing_time,transmitting_time,service_time,service_rate
0,,,,,,,,,
1,0,85.15361034584885,346.20902867623613,0.0,0.3704045883310588,0.20462182432598527,0.005900000000000001,0.21052182432598518,0.0
2,1,87.61734308896831,340.56865101134963,0.0,0.38282715750117696,0.20464801033436392,0.006066666666666668,0.2107146770010305,0.0
3,2,84.8062019399732,336.2055579127212,0.0,0.3667570297349709,0.2046295799209759,0.005700000000000001,0.2103295799209758,0.0
4,3,83.57556782666101,347.7967288607705,0.0,0.36123476541613786,0.20464112790960537,0.005900000000000002,0.2105411279096053,0.0
5,4,83.34236899996378,358.2076821521276,0.0,0.35958818142641663,0.20463863414483408,0.005900000000000002,0.210538634144834,0.0
6,5,74.08990313548875,397.5518396629726,0.0,0.3124189759949563,0.20461811948921307,0.005566666666666668,0.21018478615587968,0.0
7,6,82.09180007381309,357.9983247617435,0.0,0.35383569852442426,0.20462681281734516,0.0055333333333333345,0.21016014615067838,0.0
8,7,84.21135077003358,354.00970803252795,0.0,0.36486234707558246,0.2046572101827409,0.006066666666666668,0.2107238768494075,0.0
9,8,78.44986571624824,368.1178407445201,0.0,0.3339127203587991,0.20464559707655738,0.006333333333333334,0.2109789304098906,0.0
10,9,79.0338494235069,381.43951485533813,0.0,0.3383823509460764,0.20462563185608235,0.005666666666666668,0.21029229852274892,0.0
