,Epoch index,age_of_view,new_age_of_view,timeliness,consistence,completeness,intel_arrival_time,queuing_time,transmitting_time,service_time,service_rate,received_data,required_data
0,,,,,,,,,,,,,
1,0,63.57451053282934,33.57252660941676,38.705598691284166,1423.751486650447,0.2516741835687915,31.605441193785808,0.24358221571996647,0.4197777777777776,32.268801187283536,0.0,1999,6391
2,1,64.62081338229144,34.437382357752604,39.833010049921334,1431.150950789294,0.2575390169924483,30.99500678758164,0.23987181162692556,0.43366666666666676,31.668545265875277,0.0,2010,6391
3,2,66.18174080335098,35.129307088321085,36.26573722093616,1318.782039005321,0.26072503576670236,30.980768038801962,0.24009669691732508,0.43250000000000016,31.653364735719247,0.0,2048,6391
4,3,64.3533922155906,33.96576030186304,38.914248756155466,1248.1080531885216,0.2538809243588655,31.21037317583837,0.24188088089307774,0.4367777777777779,31.88903183450923,0.0,2015,6391
5,4,66.775824444005,37.201038773065015,38.165644620565295,2272.4109155289257,0.2805403967854947,30.99368839418498,0.2399273000471741,0.4451111111111113,31.678726805343285,0.0,2241,6391
6,5,63.467219731090495,33.405862054300854,38.58170443582902,1327.7031123717668,0.24976278505445165,31.053533436742327,0.24037724405288335,0.4444444444444446,31.73835512523965,0.0,1966,6391
7,6,69.78418997652246,37.88676028505355,39.86924270174694,1208.8435823922903,0.28105561948944296,31.159677485351487,0.24144198239674888,0.45125000000000026,31.85236946774822,0.0,2225,6391
8,7,70.92490597625964,38.905924213679,40.268321437884154,1383.5850149076175,0.2890471553682337,30.77199759872913,0.23802381240612874,0.44725000000000004,31.457271411135263,0.0,2297,6391
9,8,70.9265376136876,40.248214357721,38.21403530071747,2377.389645547271,0.3011665349900643,30.935486593813895,0.2392007660147823,0.43958333333333344,31.614270693162034,0.0,2354,6391
10,9,63.34181208328734,34.60424985958424,36.957988869517614,2340.215149103207,0.2616607922759881,31.21250696412914,0.24148037798677943,0.43063888888888924,31.884626231004773,0.0,2085,6391
11,10,67.29425429932958,36.63851365820982,43.485259879334,1397.5083832396122,0.2741764466470347,30.77209144817285,0.23807029459176907,0.43241666666666695,31.442578409431274,0.0,2169,6391
12,11,66.69624819104801,35.72879247527014,40.472962091641556,1225.3680551215498,0.2667872308337993,30.9819716793831,0.23987974839484996,0.42452777777777795,31.646379205555718,0.0,2132,6391
13,12,63.6278885724308,33.642167512559325,39.036886562983,1419.4815878807633,0.2520083669054256,30.926134956128056,0.23974740910830672,0.44324999999999987,31.609132365236377,0.0,1968,6391
14,13,67.7209225107249,37.88344158097365,39.19051929640434,2247.7641391070824,0.2854461442696737,31.00264356015919,0.23987207856793016,0.4494999999999997,31.692015638727117,0.0,2257,6391
15,14,68.29922082458936,37.164624665553355,41.96720037827624,1351.0439784072569,0.27727215268391725,30.99744159525685,0.2399592448517527,0.43958333333333344,31.676984173441948,0.0,2188,6391
16,15,66.84248707159534,35.64728949333908,36.423146344006206,1350.8620774616822,0.2648904933120619,31.144744642406845,0.2412570328864123,0.435,31.82100167529322,0.0,2084,6391
17,16,67.58841687964185,37.72254301632449,38.31346323534139,2170.60676021598,0.2836844019270487,31.212591568190977,0.24175801992861887,0.4350833333333334,31.88943292145287,0.0,2242,6391
18,17,68.13894880252631,36.8092662462635,38.43100738962029,1379.9156314135068,0.2731960806985318,30.998793310614012,0.2396894133583139,0.4324444444444442,31.67092716841676,0.0,2144,6391
19,18,65.1256375015917,34.796232468040856,41.12109886640424,1379.2307758704176,0.26056989334195224,30.76539701054071,0.23814666616968996,0.44672222222222197,31.450265898932624,0.0,2056,6391
20,19,67.71244832763362,36.642859879660186,40.87040662178397,1295.150115968688,0.27335314839481506,31.204412334741622,0.24169359441725846,0.44436111111111115,31.890467040269982,0.0,2183,6391
21,20,69.00842906842114,38.28013552153056,48.832133886960975,1363.2492773276663,0.2862701596696693,30.756958535979702,0.2381573912316963,0.45461111111111147,31.449727038322514,0.0,2240,6391
22,21,70.92701980636912,38.57809050801416,39.438885605975074,1149.4459608878703,0.28586742551203315,31.051454040465856,0.24013306049191424,0.44061111111111123,31.732198212068887,0.0,2271,6391
23,22,64.85166402606414,34.59502299082048,41.062392643865316,1351.1290067785233,0.2588472310187997,31.0714465463525,0.24034395468204622,0.4398888888888888,31.751679389923428,0.0,2040,6391
24,23,71.06705353968465,40.186701342776644,37.418018762114514,2229.0057317341098,0.3000239795607444,31.289212232643955,0.2420387445269039,0.43524999999999986,31.966500977170853,0.0,2387,6391
25,24,67.88211280050287,36.690695835269324,38.874782381889254,1385.5047858213743,0.2720036091359619,30.98871533256018,0.23991070178118154,0.45500000000000007,31.68362603434134,0.0,2142,6391
26,25,64.60821922842888,34.37584765258512,39.97545717603711,1366.5413083427904,0.2563789842147683,31.15847818568609,0.2413991252658178,0.4504444444444446,31.850321755396337,0.0,1999,6391
27,26,66.89030106393541,35.4087922862036,36.340777621888314,1114.4598009695978,0.2622773582626521,31.280169805248466,0.24207412005831466,0.4512222222222224,31.973466147528992,0.0,2057,6391
28,27,64.51514385815447,34.22025440729775,40.64856355163514,1304.879163232325,0.2557272149600581,30.99696735445579,0.2399432652592075,0.4429722222222219,31.67988284193723,0.0,2006,6391
29,28,67.55883462959518,36.473832935501946,41.23963904991588,1309.1024800364803,0.2727018951455225,30.773200562792002,0.23813232445819815,0.4486388888888888,31.4599717761391,0.0,2144,6391
30,29,70.92697570436958,40.14320247264857,37.38434296506595,2312.0477406199984,0.2999086026537006,31.219767020739923,0.24139595950301668,0.43241666666666667,31.893579646909583,0.0,2372,6391
31,30,75.2525551937685,42.71891117800127,48.43469994724283,1224.7776346847968,0.3158047346625777,30.99710078037055,0.23985793162253208,0.4370555555555552,31.674014267548646,0.0,2487,6391
32,31,67.32802599982992,36.22975766107502,41.03909211281885,1211.6438139685513,0.27047062895347185,31.211221441154546,0.2416191774987219,0.4388611111111109,31.891701729764367,0.0,2157,6391
33,32,66.6765899396908,35.70518442142018,37.483645282449125,1403.8375658971872,0.2651826353566548,30.993540439244153,0.239867646222242,0.4279444444444445,31.6613525299108,0.0,2083,6391
